Number,Frame #,isReplay,Camera Angle,Condensed Views,IsTrackView,isRace,,Connor,Eric,Brendon,JD,,,,,,,,
0,frame_0,FALSE,,,FALSE,FALSE,,2-500,1000-1500,2000-2500,3000-3500,,,,,,,,
50,frame_50,FALSE,,,FALSE,FALSE,,4000-4500,5000-5500,6000-6500,7000-7500,,,,,,,,
100,frame_100,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
150,frame_150,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
200,frame_200,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
250,frame_250,FALSE,,,FALSE,FALSE,,,,,,,,,,,,Views,
300,frame_300,FALSE,,,FALSE,FALSE,,,,,,,,,,,,isOnCarFrontView,On Car - Facing forwards
350,frame_350,FALSE,,,FALSE,FALSE,,,,,,,,,,,,IsOnCarRearView,On Car - Facing backwards
400,frame_400,FALSE,,,FALSE,FALSE,,,,,,,,,,,,isOnCarWingView,On Side of car
450,frame_450,FALSE,,,FALSE,FALSE,,,,,,,,,,,,isPitChangeAboveView,Camera viewing down on pit
500,frame_500,FALSE,,,FALSE,FALSE,,,,,,,,,,,,isPitChangeSideView,camera viewing side of pit
550,frame_550,FALSE,,,FALSE,FALSE,,,,,,,,,,,,isPitLaneView,camera showing pit lane - cars entering / exiting
600,frame_600,FALSE,,,FALSE,FALSE,,,,,,,,,,,,isGarageTeamView,frame showing team in garage
650,frame_650,FALSE,,,FALSE,FALSE,,,,,,,,,,,,isFanStandsView,camera shooting from stands to cars on track
700,frame_700,FALSE,,,FALSE,FALSE,,,,,,,,,,,,isHelicopterView,camera shooting from helicopter to cars on track
750,frame_750,FALSE,,,FALSE,FALSE,,,,,,,,,,,,isTrackSideView,camera shooting from side of track to cars driving by
800,frame_800,FALSE,,,FALSE,FALSE,,,,,,,,,,,,isInGroundView,camera shooting from below track to cars driving over
850,frame_850,FALSE,,,FALSE,FALSE,,,,,,,,,,,,isCrowdView,camera shooting from any angle to crowd
900,frame_900,FALSE,,,FALSE,FALSE,,,,,,,,,,,,isDriverView,camera behind driver wheel
950,frame_950,FALSE,,,FALSE,FALSE,,,,,,,,,,,,isIntroductionView,intruductory screens about race
1000,frame_1000,FALSE,,,FALSE,FALSE,,,,,,,,,,,,isCelebrityView,shot of celebrity in the garage
1050,frame_1050,FALSE,,,FALSE,FALSE,,,,,,,,,,,,isPitChangeFrontView,
1100,frame_1100,FALSE,,,FALSE,FALSE,,,,,,,,,,,,isOtherDetailView,other category (race specific or some other random detail)
1150,frame_1150,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
1200,frame_1200,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
1250,frame_1250,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
1300,frame_1300,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
1350,frame_1350,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
1400,frame_1400,FALSE,,,FALSE,FALSE,,,,,,,,,,,,isDriverView,
1450,frame_1450,FALSE,,,FALSE,FALSE,,,,,,,,,,,,isPitView,
1500,frame_1500,FALSE,,,FALSE,FALSE,,,,,,,,,,,,isSpectatorView,
1550,frame_1550,FALSE,,,FALSE,FALSE,,,,,,,,,,,,isTrackView,
1600,frame_1600,FALSE,,,FALSE,FALSE,,,,,,,,,,,,isOtherView,
1650,frame_1650,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
1700,frame_1700,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
1750,frame_1750,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
1800,frame_1800,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
1850,frame_1850,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
1900,frame_1900,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
1950,frame_1950,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
2000,frame_2000,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
2050,frame_2050,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
2100,frame_2100,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
2150,frame_2150,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
2200,frame_2200,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
2250,frame_2250,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
2300,frame_2300,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
2350,frame_2350,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
2400,frame_2400,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
2450,frame_2450,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
2500,frame_2500,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
2550,frame_2550,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
2600,frame_2600,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
2650,frame_2650,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
2700,frame_2700,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
2750,frame_2750,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
2800,frame_2800,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
2850,frame_2850,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
2900,frame_2900,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
2950,frame_2950,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
3000,frame_3000,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
3050,frame_3050,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
3100,frame_3100,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
3150,frame_3150,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
3200,frame_3200,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
3250,frame_3250,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
3300,frame_3300,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
3350,frame_3350,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
3400,frame_3400,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
3450,frame_3450,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
3500,frame_3500,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
3550,frame_3550,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
3600,frame_3600,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
3650,frame_3650,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
3700,frame_3700,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
3750,frame_3750,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
3800,frame_3800,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
3850,frame_3850,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
3900,frame_3900,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
3950,frame_3950,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
4000,frame_4000,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
4050,frame_4050,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
4100,frame_4100,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
4150,frame_4150,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
4200,frame_4200,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
4250,frame_4250,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
4300,frame_4300,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
4350,frame_4350,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
4400,frame_4400,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
4450,frame_4450,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
4500,frame_4500,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
4550,frame_4550,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
4600,frame_4600,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
4650,frame_4650,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
4700,frame_4700,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
4750,frame_4750,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
4800,frame_4800,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
4850,frame_4850,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
4900,frame_4900,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
4950,frame_4950,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
5000,frame_5000,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
5050,frame_5050,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
5100,frame_5100,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
5150,frame_5150,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
5200,frame_5200,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
5250,frame_5250,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
5300,frame_5300,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
5350,frame_5350,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
5400,frame_5400,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
5450,frame_5450,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
5500,frame_5500,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
5550,frame_5550,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
5600,frame_5600,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
5650,frame_5650,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
5700,frame_5700,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
5750,frame_5750,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
5800,frame_5800,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
5850,frame_5850,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
5900,frame_5900,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
5950,frame_5950,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
6000,frame_6000,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
6050,frame_6050,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
6100,frame_6100,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
6150,frame_6150,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
6200,frame_6200,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
6250,frame_6250,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
6300,frame_6300,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
6350,frame_6350,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
6400,frame_6400,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
6450,frame_6450,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
6500,frame_6500,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
6550,frame_6550,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
6600,frame_6600,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
6650,frame_6650,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
6700,frame_6700,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
6750,frame_6750,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
6800,frame_6800,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
6850,frame_6850,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
6900,frame_6900,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
6950,frame_6950,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
7000,frame_7000,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
7050,frame_7050,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
7100,frame_7100,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
7150,frame_7150,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
7200,frame_7200,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
7250,frame_7250,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
7300,frame_7300,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
7350,frame_7350,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
7400,frame_7400,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
7450,frame_7450,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
7500,frame_7500,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
7550,frame_7550,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
7600,frame_7600,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
7650,frame_7650,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
7700,frame_7700,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
7750,frame_7750,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
7800,frame_7800,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
7850,frame_7850,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
7900,frame_7900,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
7950,frame_7950,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
8000,frame_8000,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
8050,frame_8050,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
8100,frame_8100,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
8150,frame_8150,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
8200,frame_8200,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
8250,frame_8250,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
8300,frame_8300,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
8350,frame_8350,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
8400,frame_8400,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
8450,frame_8450,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
8500,frame_8500,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
8550,frame_8550,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
8600,frame_8600,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
8650,frame_8650,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
8700,frame_8700,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
8750,frame_8750,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
8800,frame_8800,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
8850,frame_8850,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
8900,frame_8900,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
8950,frame_8950,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
9000,frame_9000,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
9050,frame_9050,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
9100,frame_9100,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
9150,frame_9150,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
9200,frame_9200,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
9250,frame_9250,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
9300,frame_9300,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
9350,frame_9350,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
9400,frame_9400,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
9450,frame_9450,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
9500,frame_9500,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
9550,frame_9550,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
9600,frame_9600,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
9650,frame_9650,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
9700,frame_9700,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
9750,frame_9750,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
9800,frame_9800,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
9850,frame_9850,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
9900,frame_9900,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
9950,frame_9950,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
10000,frame_10000,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
10050,frame_10050,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
10100,frame_10100,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
10150,frame_10150,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
10200,frame_10200,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
10250,frame_10250,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
10300,frame_10300,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
10350,frame_10350,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
10400,frame_10400,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
10450,frame_10450,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
10500,frame_10500,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
10550,frame_10550,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
10600,frame_10600,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
10650,frame_10650,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
10700,frame_10700,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
10750,frame_10750,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
10800,frame_10800,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
10850,frame_10850,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
10900,frame_10900,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
10950,frame_10950,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
11000,frame_11000,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
11050,frame_11050,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
11100,frame_11100,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
11150,frame_11150,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
11200,frame_11200,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
11250,frame_11250,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
11300,frame_11300,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
11350,frame_11350,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
11400,frame_11400,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
11450,frame_11450,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
11500,frame_11500,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
11550,frame_11550,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
11600,frame_11600,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
11650,frame_11650,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
11700,frame_11700,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
11750,frame_11750,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
11800,frame_11800,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
11850,frame_11850,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
11900,frame_11900,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
11950,frame_11950,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
12000,frame_12000,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
12050,frame_12050,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
12100,frame_12100,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
12150,frame_12150,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
12200,frame_12200,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
12250,frame_12250,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
12300,frame_12300,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
12350,frame_12350,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
12400,frame_12400,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
12450,frame_12450,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
12500,frame_12500,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
12550,frame_12550,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
12600,frame_12600,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
12650,frame_12650,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
12700,frame_12700,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
12750,frame_12750,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
12800,frame_12800,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
12850,frame_12850,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
12900,frame_12900,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
12950,frame_12950,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
13000,frame_13000,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
13050,frame_13050,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
13100,frame_13100,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
13150,frame_13150,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
13200,frame_13200,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
13250,frame_13250,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
13300,frame_13300,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
13350,frame_13350,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
13400,frame_13400,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
13450,frame_13450,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
13500,frame_13500,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
13550,frame_13550,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
13600,frame_13600,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
13650,frame_13650,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
13700,frame_13700,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
13750,frame_13750,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
13800,frame_13800,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
13850,frame_13850,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
13900,frame_13900,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
13950,frame_13950,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
14000,frame_14000,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
14050,frame_14050,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
14100,frame_14100,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
14150,frame_14150,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
14200,frame_14200,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
14250,frame_14250,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
14300,frame_14300,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
14350,frame_14350,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
14400,frame_14400,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
14450,frame_14450,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
14500,frame_14500,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
14550,frame_14550,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
14600,frame_14600,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
14650,frame_14650,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
14700,frame_14700,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
14750,frame_14750,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
14800,frame_14800,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
14850,frame_14850,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
14900,frame_14900,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
14950,frame_14950,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
15000,frame_15000,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
15050,frame_15050,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
15100,frame_15100,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
15150,frame_15150,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
15200,frame_15200,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
15250,frame_15250,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
15300,frame_15300,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
15350,frame_15350,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
15400,frame_15400,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
15450,frame_15450,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
15500,frame_15500,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
15550,frame_15550,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
15600,frame_15600,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
15650,frame_15650,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
15700,frame_15700,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
15750,frame_15750,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
15800,frame_15800,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
15850,frame_15850,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
15900,frame_15900,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
15950,frame_15950,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
16000,frame_16000,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
16050,frame_16050,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
16100,frame_16100,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
16150,frame_16150,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
16200,frame_16200,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
16250,frame_16250,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
16300,frame_16300,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
16350,frame_16350,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
16400,frame_16400,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
16450,frame_16450,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
16500,frame_16500,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
16550,frame_16550,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
16600,frame_16600,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
16650,frame_16650,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
16700,frame_16700,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
16750,frame_16750,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
16800,frame_16800,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
16850,frame_16850,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
16900,frame_16900,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
16950,frame_16950,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
17000,frame_17000,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
17050,frame_17050,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
17100,frame_17100,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
17150,frame_17150,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,
