Number,Frame #,isReplay,Camera Angle,Condensed Views,isRace,,Connor,Eric,Brendon,JD,,,,,,,,
0000000000,frame_0,FALSE,,,FALSE,,2-500,1000-1500,2000-2500,3000-3500,,,,,,,,
0000000050,frame_50,FALSE,,,FALSE,,4000-4500,5000-5500,6000-6500,7000-7500,,,,,,,,
0000000100,frame_100,FALSE,,,FALSE,,,,,,,,,,,,,
0000000150,frame_150,FALSE,,,FALSE,,,,,,,,,,,,,
0000000200,frame_200,FALSE,,,FALSE,,,,,,,,,,,,,
0000000250,frame_250,FALSE,,,FALSE,,,,,,,,,,,,Views,
0000000300,frame_300,FALSE,,,FALSE,,,,,,,,,,,,isOnCarFrontView,On Car - Facing forwards
0000000350,frame_350,FALSE,,,FALSE,,,,,,,,,,,,IsOnCarRearView,On Car - Facing backwards
0000000400,frame_400,FALSE,,,FALSE,,,,,,,,,,,,isOnCarWingView,On Side of car
0000000450,frame_450,FALSE,,,FALSE,,,,,,,,,,,,isPitChangeAboveView,Camera viewing down on pit
0000000500,frame_500,FALSE,,,FALSE,,,,,,,,,,,,isPitChangeSideView,camera viewing side of pit
0000000550,frame_550,FALSE,,,FALSE,,,,,,,,,,,,isPitLaneView,camera showing pit lane - cars entering / exiting
0000000600,frame_600,FALSE,,,FALSE,,,,,,,,,,,,isGarageTeamView,frame showing team in garage
0000000650,frame_650,FALSE,,,FALSE,,,,,,,,,,,,isFanStandsView,camera shooting from stands to cars on track
0000000700,frame_700,FALSE,,,FALSE,,,,,,,,,,,,isHelicopterView,camera shooting from helicopter to cars on track
0000000750,frame_750,FALSE,,,FALSE,,,,,,,,,,,,isTrackSideView,camera shooting from side of track to cars driving by
0000000800,frame_800,FALSE,,,FALSE,,,,,,,,,,,,isInGroundView,camera shooting from below track to cars driving over
0000000850,frame_850,FALSE,,,FALSE,,,,,,,,,,,,isCrowdView,camera shooting from any angle to crowd
0000000900,frame_900,FALSE,,,FALSE,,,,,,,,,,,,isDriverView,camera behind driver wheel
0000000950,frame_950,FALSE,,,FALSE,,,,,,,,,,,,isIntroductionView,intruductory screens about race
0000001000,frame_1000,FALSE,,,FALSE,,,,,,,,,,,,isCelebrityView,shot of celebrity in the garage
0000001050,frame_1050,FALSE,,,FALSE,,,,,,,,,,,,isPitChangeFrontView,
0000001100,frame_1100,FALSE,,,FALSE,,,,,,,,,,,,isOtherDetailView,other category (race specific or some other random detail)
0000001150,frame_1150,FALSE,,,FALSE,,,,,,,,,,,,,
0000001200,frame_1200,FALSE,,,FALSE,,,,,,,,,,,,,
0000001250,frame_1250,FALSE,,,FALSE,,,,,,,,,,,,,
0000001300,frame_1300,FALSE,,,FALSE,,,,,,,,,,,,,
0000001350,frame_1350,FALSE,,,FALSE,,,,,,,,,,,,,
0000001400,frame_1400,FALSE,,,FALSE,,,,,,,,,,,,isDriverView,
0000001450,frame_1450,FALSE,,,FALSE,,,,,,,,,,,,isPitView,
0000001500,frame_1500,FALSE,,,FALSE,,,,,,,,,,,,isSpectatorView,
0000001550,frame_1550,FALSE,,,FALSE,,,,,,,,,,,,isTrackView,
0000001600,frame_1600,FALSE,,,FALSE,,,,,,,,,,,,isOtherView,
0000001650,frame_1650,FALSE,,,FALSE,,,,,,,,,,,,,
0000001700,frame_1700,FALSE,,,FALSE,,,,,,,,,,,,,
0000001750,frame_1750,FALSE,,,FALSE,,,,,,,,,,,,,
0000001800,frame_1800,FALSE,,,FALSE,,,,,,,,,,,,,
0000001850,frame_1850,FALSE,,,FALSE,,,,,,,,,,,,,
0000001900,frame_1900,FALSE,,,FALSE,,,,,,,,,,,,,
0000001950,frame_1950,FALSE,,,FALSE,,,,,,,,,,,,,
0000002000,frame_2000,FALSE,,,FALSE,,,,,,,,,,,,,
0000002050,frame_2050,FALSE,,,FALSE,,,,,,,,,,,,,
0000002100,frame_2100,FALSE,,,FALSE,,,,,,,,,,,,,
0000002150,frame_2150,FALSE,,,FALSE,,,,,,,,,,,,,
0000002200,frame_2200,FALSE,,,FALSE,,,,,,,,,,,,,
0000002250,frame_2250,FALSE,,,FALSE,,,,,,,,,,,,,
0000002300,frame_2300,FALSE,,,FALSE,,,,,,,,,,,,,
0000002350,frame_2350,FALSE,,,FALSE,,,,,,,,,,,,,
0000002400,frame_2400,FALSE,,,FALSE,,,,,,,,,,,,,
0000002450,frame_2450,FALSE,,,FALSE,,,,,,,,,,,,,
0000002500,frame_2500,FALSE,,,FALSE,,,,,,,,,,,,,
0000002550,frame_2550,FALSE,,,FALSE,,,,,,,,,,,,,
0000002600,frame_2600,FALSE,,,FALSE,,,,,,,,,,,,,
0000002650,frame_2650,FALSE,,,FALSE,,,,,,,,,,,,,
0000002700,frame_2700,FALSE,,,FALSE,,,,,,,,,,,,,
0000002750,frame_2750,FALSE,,,FALSE,,,,,,,,,,,,,
0000002800,frame_2800,FALSE,,,FALSE,,,,,,,,,,,,,
0000002850,frame_2850,FALSE,,,FALSE,,,,,,,,,,,,,
0000002900,frame_2900,FALSE,,,FALSE,,,,,,,,,,,,,
